text,label
"Niemów nic, niemów nie, nie mów choć przez chwile.
A gdy ciemno zrobi się - przeszyj mnie jak sztylet.
Zabij noc zabij sen, niech się błogo zrobi.
Gdy do okien zajrzy dzień, możesz miłość dobić.
<EOST>
Jaki cierń, taki ból. Taki ból, takie życie,
Jaki dżin, taki kac. Taki kac, takie picie.
Jaka łza, taki żal. Taki żal, taka gorycz,
Jaka noc, taki sen. Taki sen, takie story.
<EOST>
Możesz iść, możesz brać to, co tylko zechcesz.
Mnie na tyle tylko stać, żeby płakać z deszczem.
Odejdź precz, odejdź w dal, zejdź mi proszę z oczu.
Moje serce to nie stal - mogło trochę poczuć.
<EOST>
Jaki cierń, taki ból. Taki ból, takie życie,
Jaki dżin, taki kac. Taki kac, takie picie.
Jaka łza, taki żal. Taki żal, taka gorycz,
Jaka noc, taki sen. Taki sen, takie story.
<EOST>
Jaki cierń, taki ból. Taki ból, takie życie,
Jaki dżin, taki kac. Taki kac, takie picie.
Jaka łza, taki żal. Taki żal, taka gorycz,
Jaka noc, taki sen. Taki sen, takie story<EOST>.",1
"1. poznałem ją na balu gdzie każdy mocno pił
szumiało od tego w głowach a tłum donośnie był
i ona tylko ona patrzyła smutno w dal
pojrzałem w pięknych oczach bolesny jakiś żal
spytana o co biega wyznała szybko mi
że nie chce nie może w tym tłoku dalej życ

ref. moja dziewczyna tłumy omija
lubię ją bardzo za jej styl
moja dziewczyna jest jak malina
słodycz wciąż daje mi x2

2. ogniste pocałunki spalały mocna nas
i było tak cudownie że stanął w miejscu czas
dziewczyna pojaśniała zdejmując z oczu żal
a cały dawny smutek odleciał szybko w dal
spytana o co biega odpowie pewnie wam
że w końcu fajnego na medal chłopca ma

ref. moja dziewczyna tłumy omija
lubię ją bardzo za jej styl
moja dziewczyna jest jak malina
słodycz wciąż daje mi x<EOST>4",1
"La la la laj laj la laj }x3
<EOST>
Gdy tańczę z tobą wiruje mój swiat,
a serce wybija ten takt.
I jak w cudownej ekstazie wciąz trwa,
dopóki muzyka nam gra.
<EOST>
Oczu od ciebie oderwać nie mogę, bo jak
tobą nasycić i serce i zmysły, no jak?
<EOST>
Mila ma, mila ma, mila ma, zwariowała ta noc.
Sam nie wiem, Sam nie wiem skąd bierze sie w tobie ta moc.
Mila ma, mila ma, mila ma, jeśli serce masz,
chce wiedzieć, chce wiedzieć czy ty mi na pewno je dasz...
Serce mi dasz!
<EOST>
La la la laj laj la laj }x3
La la la laj laj la laj }x3
<EOST>
Mijały tygodnie i smutniał mój świat,
i serce zmieniało swój takt.
i coś uleciało, nieznane jak ptak,
choć w duszy muzyka wciąż gra.
<EOST>
Oczy me zimne nie patrzą na ciebie, bo jak
długo tak można wciąż czekać i czekać na znak?
<EOST>
Mila ma, mila ma, mila ma, przeminęła ta noc.
Jak bańka mydlana, jak bańka prysnęła twa moc.
Mila ma, mila ma, mila ma, zamiast serca masz głaz!
Ze kochasz powiedzieć, powiedzieć nie chciałaś choć raz...
Choć jeden raz!
<EOST>
La la la laj laj la laj }x<EOST>3",1
"Mówię im arrivederci
Myślę o czasach, w których nie bałem się śmierci (blok blok)
Piłem, paliłem te setki - rok w rok
Ty nie udawaj tu greka (byłeś tam ze mną)
Na Woli do blantów dosypywali mi fety
Piana na pysku, pluję tą pianą na sweter
Towar sprzedawał się sam, kuzynku dla nich nie ważny marketing
Byłem tylko dzieckiem, hajsy od dziadka na giety
(Wstyd mi)
<EOST>
W sumie to każdy ma sekret
Nie każdy wrzuca go w werset
Każdy nowy buch to ""ykhh, ekhh""
Karma powraca jak getback
Karma powraca jak kometa
Karmą po mordzie jak airbag
Kostucha o mnie zapyta (co?)
He shoot me down, bang bang
Mój diler miał na imię Grzesiek
Pisze że susza na mieście
Niewiele mogę ci dać
Mówi że trójka, perfect
Ustawka: rondo Wiatraczna
Biały dzień, siedemnasta
Szkoła językowa, speak up!
Everything irie, wagwan
Jaram na dachu Blue City
Palimy na pół tu spliffy
Narkotykowy click-clak
Ładuję nabój do fify
Lubiłem zioło, jak go nie miałem bywałem nadpobudliwy
Dziękuję Bogu - rzuciłem te blanty nim przyszło mi siano z muzyki, straciłbym wszystko
<EOST>
Mówię im arrivederci
Myślę o czasach, w których nie bałem się śmierci (blok blok)
Piłem, paliłem te setki - rok w rok
Ty nie udawaj tu greka (byłeś tam ze mną)
Na Woli do blantów dosypywali mi fety
Piana na pysku, pluję tą pianą na sweter
Towar sprzedawał się sam, kuzynku dla nich nie ważny marketing
Byłem tylko dzieckiem, hajsy od dziadka na giety
(Wstyd mi)
<EOST>
Nowy rok nowy młyn
Robię pop, robię dym
Rest In Peace Pop Smoke
Robię sos, wiodę prym
Nie, nie obchodzą mnie ploty
Kto i co robi z kim
Coraz dziwniejsze mam noce
Budzę ją robię drink
Ciągle wspominam jak w 09 mnie przeszukiwała policja
Wczoraj znaleźliby przynajmniej trójkę
Dzisiaj to sama folijka
Dziwna to opcja, że każda mordka, która po szafach to kitra
Wypalała towar, a razem z towarem się jej wypalała ambicja
Dziś ziomy się dzielą w kliki, według tej specyfiki
Kto lubi wąchać, kto lubi spalić, kto lubi więcej wypić
Trzeźwi siedzą na kwadracie, są niekompatybilni
Znam ex ćpunów, którzy się z nudów bawią w body building
Byłem w pierwszej, drugiej, trzeciej - grupie
Ale nie w czwartej (nigdy w czwartej)
Nie chcesz białej grudy
Jesteś na liście czarnej (liście czarnej)
Chciałbyś wejść do klubu, nie ma Cię na liście żadnej
A jeżeli nie chcesz wypić wódki
Zobacz, nie ma Cię jeszcze bardziej
<EOST>
Mówię Ci arrivederci
Mówię Ci arrivederc<EOST>i",0
"You'll find the whispers in my eyes
You'll find the whispers in my eyes, tonight...
You'll find the whispers in my eyes
You'll find the whispers in my eyes, tonight...

Be brave
When you hear the sound of the night
Just be there
Can you have that faith in the cry of lights?

You'll find the whispers in my eyes
You'll find the whispers in my eyes, tonight...
You'll find the whispers in my eyes
You'll find the whispers in my eyes, tonight...

Someday
We will dance at your place
Just be there
When I lose my heel in this swing, again

We rotate around the sun
Gentle rays swirl with us
Have you ever been so blushed?
You're so blushed
You're so blushed

Nothingness, pushes us
I feel like you leaving
Faster than you can
I feel that I'm dreaming
But it's not a good dream
Something takes you away from me
But your eyes still see these whispers in my eyes

You'll find the whispers in my eyes
You'll find the whispers in my eyes
You'll find the whispers in my eyes, tonight...
You'll find the whispers in my eyes
You'll find the whispers in my eyes
You'll find the whispers in my eyes
You'll find the whispers, my own whispers in my eye<EOST>s",0
"[Intro: Mrozu]
Mój ból to studnia bez dna
Patrząc w lustro nie poznaję się sam
Mój wróg największy to ja
Świeciły dla mnie latarnie za dnia
A w noc chowałem pod stół
Silną wolę i się trułem jak szczur
Bo mój ból to studnia bez dna
Już nie poznaję się sam
<EOST>
[<RBEG>Refren: Mrozu]
Znowu widzę łajzę
Pusty bar, pełne szkło
Przez to zło ciągle przypominam łajzę
Wycie psów, śmiechy gnid
Kilka burd, brud i dym
Do piekła skrót
Dobrze znam, byłem tam, byłem tam
Do piekła skrót
Dobrze znam, byłem tam (Byłem)
Byłem, byłem, byłem<REND>
<EOST>
[Quebonafide]
Szybko nam się nudzi raj
Krzyczą diabły: ""Wróćmy tam
Na ulicę, gdzie mówiły 'dobry wieczór' złe dziewczyny""
<EOST>
[Zwrotka 1: Quebonafide]
Poczucie winy wysyła do mnie złe znaki jak Syny
Znam miejsca, w których uczucia są brudne
A myśli paskudne jak pijackie szczyny
Speluny, meliny, ludzie wjebani jak szczury w labirynt
Wchodzisz tutaj, kiedy nie możesz usnąć, wypełniony pustką
Jest duszno i dymi
Solą na ranę sypałem, bracie, o piątej nad ranem
Znam podążanie za złym pożądaniem
I naćpane panie stające się ciałem
Jej taniec na czerwonym świetle
Noce między niebem i piekłem
Powroty opuszczonym metrem
Ta szyba nie pęknie, ale
<EOST>
[<RBEG>Refren: Mrozu]
Znowu widzę łajzę
Pusty bar, pełne szkło
Przez to zło ciągle przypominam łajzę
Wycie psów, śmiechy gnid
Kilka burd, brud i dym
Do piekła skrót
Dobrze znam, byłem tam, byłem tam
Do piekła skrót
Dobrze znam, byłem tam (Byłem)
Byłem, byłem, byłem<REND>
<EOST>
[Quebonafide]
Szybko nam się nudzi raj
<EOST>
[Zwrotka 2: Quebonafide]
Zło jak skurwysyn
Pamiętam usta o posmaku łychy
Mój głos sumienia choć struny pozdzierał
Do teraz czasami coś krzyczy, nie słyszysz?
No jasne, że nie
Właściwie to rozpaczliwie się drze
Pamiętam smutne uśmiechy i grzechy
Te bordowe ściany, no i biały len
Sprane ręczniki i mydła
Męczarnie tak jak zwierzę w sidłach
Na początku słodkie jak gumy do żucia
Uczucia, z którymi nie wygrasz
I których chcesz jeszcze
Noce między niebem, a piekłem
Powroty opuszczonym metrem
Ta szyba nie pęknie, ale
<EOST>
[<RBEG>Refren: Mrozu]
Znowu widzę łajzę
Pusty bar, pełne szkło
Przez to zło ciągle przypominam łajzę
Wycie psów, śmiechy gnid
Kilka burd, brud i dym
Do piekła skrót, skrót
Dobrze znam, byłem tam, byłem tam
Do piekła skrót
Dobrze znam, byłem tam
Byłem, byłem, byłem<REND>
<EOST>
[Outro: Quebonafide]
Szybko nam się nudzi ra<EOST>j",0
"[<RBEG>Refren: Ralph Kaminski]
To wszystko było dla Ciebie
Całe to zamieszanie
To wszystko było dla Ciebie
Całe to moje kochanie
O-oh, o-oh
O-oh, o-oh<REND>
<EOST>
[Zwrotka : Quebonafide]
Naszyjniki z pereł
Hollywoodzki dywan i Nike TN
Tłum przed Open'erem
Moje miasto ma prawie dwa razy mniej
Piękne ciała obok
Żadne z nich nie było jak bezpieczny port
Przy Tobie jestem sobą
Chłopcem rzucającym kamieniami w czołg
Wymyślałem siebie tyle razy w życiu
Że już zapomniałem, co to znaczy ja
Na szczęście mam wokół tych życzliwych typów
Którzy mi przypominają co i raz
Jestem marketingiem i nieśmiesznym memem
Czy mam drogie logo czy ten sprany tees
Mogę być kim zechcę dla was, a sumienie
Dawno mnie nie gryzie, już stępiło kły
Myślisz, że naprawdę mnie to rusza, dziecko?
Żadne twoje słowo mnie nie może boleć
Mogę być tym cwelem, ćpunem, całą resztą
Pomazanym chujem, tak jak ławka w szkole
Pieniądz nigdy nie był celem samym w sobie
No i teraz nie jest moim celem nadal
Zostałem raperem i po to to robię
Bo naprawdę nie potrafię wcześnie wstawać
Obok mnie są ludzie, którzy ze mną byli
W pieprzonych melinach, na pieprzonej krze
Nie interesuje mnie czym inni żyją
Nie mam na nic czasu, już tylko na miłość
Que
<EOST>
[<RBEG>Refren: Ralph Kaminski]
To wszystko było dla Ciebie
Całe to umieranie
To wszystko było dla Ciebie
Całe to moje pisanie
O-oh, o-oh<REND>
<EOST>
Daj już iść
No daj mi iść
Daj mi pić z innych ust
Do Ciebie śpiewa<EOST>m",0
"Kiedy miasto ci dokuczy,
I gdy w duszy pustkę masz,
Zamknij drzwi na dziesięć kluczy,
Bo nie szybko znowu wrócisz,
Bo nie szybko tutaj wrócisz,
Zamknij drzwi na dziesięć kluczy,
Bo nie szybko znowu wrócisz,
Bo nie szybko tutaj wrócisz,
<EOST>
Idź pożegnaj miejskie mury,
Dość betonu spalin dość,
Jedź nad morze albo w góry,
Tam gdzie zieleń czyste chmury,
Tam gdzie zieleń czyste chmury,
Jedź nad morze albo w góry,
Tam gdzie zieleń czyste chmury,
Tam gdzie zieleń czyste chmury,
<EOST>
Plecak, namiot i gitarę,
Oprócz tego z sobą weź,
Buty stare ale jare,
I piosenek dobrych parę,
I piosenek dobrych parę,
Buty stare ale jare,
I piosenek dobrych parę,
I piosenek dobrych parę,
<EOST>
Ciepły wiatr i dym z ogniska,
Po co ci neonów blask,
Kiedy iskrę goni iskra,
Kiedy księżyc z nieba błyska,
Kiedy księżyc z nieba błyska,
Kiedy iskrę goni iskra,
Kiedy księżyc z nieba błyska,
Kiedy księżyc z nieba błyska<EOST>,",1
"Pamiętam nas z tamtych miejsc, z tamtych lat
Przyjaciel wiatr z całych sił żagle gnał
Sitowia las mijał nas, oczu Twych zielona toń
Po Twym ciele wciąż błądziła moja dłoń
<EOST>
<RBEG>Ref.:
Jak Cię nie kochać, jak Cię nie lubić?
Trudno zapomnieć i trudniej zgubić
Jak Cię nie kochać, jak Cię nie lubić?
Powiedz, powiedz (2 x)<REND>
<EOST>
Mówiłaś mi: życie bierz, jakim jest
Nie czekaj, że szczęście spadnie jak deszcz
Dokoła nas wiele szans, jedną w dłoń teraz złap
Czujny bądź, bo kobiety są jak wiatr
<EOST>
<RBEG>Ref.:
Jak Cię nie kochać, jak Cię nie lubić?
Trudno zapomnieć i trudniej zgubić
Jak Cię nie kochać, jak Cię nie lubić?
Powiedz, powiedz (4 <REND>x<EOST>)",1
"1.Cały czas tłukę się, nie wiem sam czego chce,
czekam tu by  o Tobie zapomnieć.
Widzę Cię idziesz z nim, znowu z nim,
wracam zły, widzę Cię kiedy pytasz nie o mnie. 
<EOST>
<RBEG>Ref: Czy chcesz zapomnieć, na pewno tak, 
jak Cię kochałem przez wiele lat.
Jak Cię chroniłem przed każdym złem,
Ciebie i mnie...
Czy chcesz zapomnieć, na pewno tak, 
jak Cię kochałem przez wiele lat.
Żałować będziesz, bo kto jak ja,
serce Twe zna..<REND>
<EOST>
2. Jestem sam, znowu sam, nie wiem co jest nie tak,
czemu wciąż nie odbierasz ode mnie.
Szukam Cie, ciągnie mnie do tych miejsc, naszych miejsc,
szukam Cię ale znów nadaremnie. 
<EOST>
<RBEG>Ref: Czy chcesz zapomnieć, na pewno tak, 
jak Cię kochałem przez wiele lat.
Jak Cię chroniłem przed każdym złem,
Ciebie i mnie...
Czy chcesz zapomnieć, na pewno tak, 
jak Cię kochałem przez wiele lat.
Żałować będziesz, bo kto jak ja,
serce Twe zna..                                                   <REND>x<EOST>2",1
